CLINIC CHECK-UP;;"000964"
CLINIC SERVICE; 04246958000118 ;"414531"
CLÍNICA 24 HORAS; 94523503000195 ;"407402"
Clinica Adventista;"76.726.884/0049-72";"000011"
CLINICA ALVORADA DE SERVICOS MÉDICOS LTDA;"42314690000101 ";"329266"
Clinica America;"000000000000000000";"000000"
CLINICA AMERICA;"111111111111111111";"111111"
CLINICA BASTOS;"06.910.982/0001-35";"000000"
Clínica CLIP ;"";"000"
Clínica CLIP ;"000";"00"
Clínica de Dor SP ;"00370699/0001-81";"0"
CLINICA DE TODOS;"111111111111111111";"111111"
CLINICA DERMA LINE;;"1"
CLINICA DO CARMO LTDA; 33616293000195 ;"409804"
CLÍNICA DOUTOR SAÚDE;;"121212"
CLÍNICA DR. MORONE;"30052377000155 ";"407551"
CLÍNICA GERAL ADEFOMM; 35792555000106 ;"409723"
CLINICA JARDIM SAO JOAO;"02.338.519/0001-00";"312356"
CLÍNICA MARECHAL RONDON LTDA;"68592658000173 ";"407968"
CLÍNICA MÉDICA ANÁLIA FRANCO; 68777226000137 ;"408115"
CLINICA MEDICA CATARATAS LTDA; 01418453000103 ;"407887"
CLÍNICA MÉDICA E ODONTOLÓGICA CENÁCULO; 33859869000145 ;"408638"
CLINICA MEDICA MARICA; 97349781000166 ;"307351"
CLÍNICA MÉDICA PROMAC LTDA; 01097082000105 ;"356336"
CLÍNICA MÉDICO CIRURGICA SANTA MARGARIDA LTDA;"33401076000188 ";"407844"
CLINICA NIKKEY; 82539354000173 ;"327956"
CLINICA ODONTO ;?01055838000145 ;"401757"
CLINICA ODONTO ; 01055838000145 ;"401757"
CLINICA ODONTO LTDA.;"01055838000145 ";"401757"
CLINICA ODONTOL?GICA ODONTOBET ;?01293923000141 ;"402214"
CLINICA ODONTOL?GICA SOL ;?03789976000183 ;"413739"
CLINICA ODONTOLÓGICA ODONTOBET;"01293923000141 ";"402214"
CLINICA ODONTOLÓGICA SOL; 03789976000183 ;"413739"
CLINICA OTOVITA;"282.596.468-97 ";"333689"
CLINICA PACAEMBU; 43698976000192 ;"317951"
CLINICA RIO DA PRATA; 34169813000121 ;"406449"
CLINICA S?O CAMILO ;?45946753000122 ;"328901"
CLINICA S?O CAMILO;á45946753000122 ;"328901"
CLINICA S?O JOSE - SAUDE LTDA ;?04272692000188 ;"413275"
CLINICA S?O JOSE - SAUDE LTDA;á04272692000188 ;"413275"
CLINICA SAMEAL; 35265958000199 ;"350842"
CLÍNICA SANTA HELENA LTDA; 10930451000181 ;"306355"
CLÍNICA SANTA MARCIA;"02878827000128 ";"405086"
CLINICA SANTA RITA; 00433671000146 ;"372188"
CLINICA SÃO CAMILO; 45946753000122 ;"328901"
CLÍNICA SÃO GABRIEL LTDA ; 51262335000119 ;"415944"
CLÍNICA SÃO GABRIEL S/S LTDA;"51262335000119 ";"415944"
CLÍNICA SÃO JOÃO LTDA;"33906066000102 ";"407623"
CLINICA SÃO JOSE - SAUDE LTDA; 04272692000188;"413275"
CLINICA STEFANI LTDA; 87810529000159 ;"329851"
CLINICA UNIDENTAL; 02544253000151 ;"404039"
Clínica Vila Liviero;"";"000000"
CLINICAL;;"999999"
CLINICARD;;"999999"
CLINICARD ASSIST?NCIA M?DICA S/A ;?61735494000147 ;"317306"
CLINICARD ASSISTÊNCIA MÉDICA S/A;"61735494000147 ";"317306"
CLINICAS REUNIDAS;"88921317000101 ";"333735"
CLINIDENT; 03383936000137 ;"408352"
Clinifacil;"28.182.377/0001-28";-
CLINIHAUER; 76441047000152 ;"325341"
CLINIHAUER - só pctes antigos;;"999999"
CLINIODONTO; 01995092000150 ;"408611"
CLINIODONTO VALE DO PARAIBA; 03455032000170 ;"414603"
Clinipam;;"123456"
CLINIPAM;"76.882.612.0001-17";"340782"
clinipam - NÃO ATENDEMOS;;"999999"
CLINIPAM CLINICA PARANAENSE DE ASSISTENCIA M?DICA LTDA. ;?76882612000117 ;"340782"
CLINIPAM CLINICA PARANAENSE DE ASSISTENCIA MÉDICA LTDA.;"76882612000117 ";"340782"
Clinipan;"76.882.612/0001-17";"000009"
CLINIPREV CONSULTÓRIOS MÉDICOS;"111111111111111111";"111111"
CLINIPREV SA?DE ;?03391009000169 ;"415413"
CLINIPREV SAÚDE ; 03391009000169 ;"415413"
CLINIPREV SAÚDE LTDA;"03391009000169 ";"415413"
CLINISERV; 03674911000192 ;"411523"
CLINLAB;"";"000000"
CLINLAB - MEDICINA DO TRABALHO;"014899090001-18";"000001"
Clisama;"02994397000109";"999999"
clisama - NÃO ATENDEMOS;;"999999"
CLISMED CL?NICA DE SOCORRO M?DICO DENT?RIO LTDA ;?29482924000153 ;"408905"
CLISMED CLÍNICA DE SOCORRO MÉDICO DENTÁRIO LTDA; 29482924000153 ;"408905"
CLM;;"101015"
CLOE DENTAL; 46856142000156 ;"339920"
CLUB MED INDAIA;;"010203"
Club Saúde;"14.163.681/0001-13";"121212"
CLUB SAUDE;"28097267/0001-68";"000000"
CLUB SAUDE - SISTEMA CLUB SAUDE DE MEIOS ELETRON. DE CONTRAT. E PA;"111111111111111111";"111111"
CLUBE BENEFICIENTE DOS SARGENTOS DA MARINHA; 33908500000185 ;"415553"
CM24 SA?DE ;?03098513000175 ;"406759"
CM24 SAÚDE; 03098513000175 ;"406759"
CMA CONGONHAS;"";"999999"
CMB OCUPACIONAL;"111111111111111111";"000000"
CMC PARCERIA;;"4"
CMI - CLINICA DE MEDICINA INTEGRADA LTDA.;"17146846000137 ";"310239"
CNEM;;"000000"
CNEN;;"999999"
CNEN;"000000000000000000";"000000"
CNEN / IPEN;;"999999"
CNEN-IPEM;;"999995"
CNEN/IPEN;"00402552000550";"777771"
CNEN/IPEN REEMBOLSO;"";"000015"
CNTI;"";"333333"
CNU - Central Nacional ;"";"339679"
COAMO;;"999999"
COAMO;"75.202.507/0001-27";"340103"
COATS CORRETE;;"29"
COBREQ;"33060716000133 ";"349844"
CODEM - CONV?NIOS ODONTOL?GICOS ;?73315707000160 ;"400505"
CODEM - CONVÊNIOS ODONTOLÓGICOS; 73315707000160 ;"400505"
CODESA;"";"416509"
CODESA;"27.316.538/0001-66";"416509"
CODESA;"27316538000166";"000000"
COG SA?DE ;?39494042000161 ;"372030"
COG SAÚDE; 39494042000161 ;"372030"
COGAM; 01501597000110;"342335"
COI - CLINICA ODONTOLOGICA INTEGRADA;"05100705000102 ";"415499"
COIFE ODONTO;"67165464000129 ";"320960"
COJUN CENTRO ODONTOLÓGICO JUNDIAI LTDA;"44648293000193 ";"415812"
COJUN CENTRO ODONTOLOGICO JUNDIAI LTDA.; 44648293000193;"415812"
Colaborador H9J;;"000000"
COLIGAÇÃO MARKETING INTERATIVO;;"999999"
COLLUNA;;"999999"
Colorado;;"000000"
Colorado;"111111111111111111";"000000"
COMABEL;;"999999"
COMANDO DO SEGUNDO DISTRITO NAVAL;"";"000000"
Comigo Tecnologia;"29728517000183";"002972"
COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA; 15139629000194 ;"388254"
COMPANHIA DE ENGENHARIA DE TRAFEGO - CET;"47902648000117 ";"330051"
COMPANHIA DE PARTICIPACOES EM CONCESSOES (ENGELOG);;"001162"
COMPANHIA DE SEGUROS ALIANCA DO BRASIL (CK);;"001041"
COMPANHIA NACIONAL DE ABASTECIMENTO - C0NAB;"26461699000180 ";"334189"
COMPANHIA SIDER?RGICA DE TUBAR?O ;?27251974000102 ;"342637"
COMPANHIA SIDER?RGICA DE TUBAR?O;á27251974000102 ;"342637"
COMPANHIA SIDERÚRGICA DE TUBARÃO; 27251974000102;"342637"
COMPENSADOS 3 IRMAOS;;"101010"
COMPLEXO CL?NICO DA REGI?O DOS LAGOS ;?32534661000193 ;"406881"
COMPLEXO CL?NICO DA REGI?O DOS LAGOS;á32534661000193 ;"406881"
COMPLEXO CLÍNICO DA REGIÃO DOS LAGOS; 32534661000193 ;"406881"
COMPREV;"12585261000108 ";"307751"
COMPREV FUNDA??O COMPESA DE PREVIDENCIA E ASSIST?NCIA ;?12585261000108 ;"307751"
COMPREV FUNDAÇÃO COMPESA DE PREVIDENCIA E ASSISTÊNCIA; 12585261000108;"307751"
COMSEDER;"70094578000130 ";"390259"
COMVIDA;"09244372000138";"111111"
comvida 30;"09244372000138";"111111"
COMVIDA 30;"09244372000138";"222222"
CONAB;"";"000000"
CONAB;"26.461.699/0052-20";"334189"
CONAB;"26461699000180";"334189"
CONASA;;"999999"
CONCESSIONÁRIA REVIVER S.A;"20.852.443/0001-18";"000000"
CONCREBRAS;"76.630.573/0016-47";"000000"
CONDOMINIO SHELI;;"999999"
CONFECÇÕES EQUUS;"111111111111111111";"000000"
CONFECÇÕES EQUUS LTDA - ( OCUPACIONAL);"111111111111111111";"000000"
CONFIAN?A ASSIST?NCIA M?DICO HOSPITALAR ;?03613857000175 ;"410624"
Confiança;;"000000"
Confiança ;"";"000000"
CONFIANÇA ASSISTÊNCIA MÉDICO HOSPITALAR; 03613857000175;"410624"
CONFIANÇA SAÚDE;"03613857000175 ";"410624"
CONMED;"21040097/0001-36"; -
CONMEDH SAUDE;"03862114000139 ";"411931"
CONS.P.VALE T.P.;"14.461.544/0001-65";"123987"
CONSAUDE;"02906583000140 ";"350729"
CONSEIL; 13984216000180 ;"341584"
Consórcio;"000000000000000000";"000000"
CONSORCIO ALUMAR; 00655209000193 ;"415715"
CONSORCIO VALE DO TELES PIRES;"14.461.544/0001-65";"852147"
CONSTRUDENTE;"60537495000114 ";"405931"
CONSTRUTORA C 2;;"101010"
CONSULTA DO BEM;"111111111111111111";"000000"
Consulta do Bem Tecnologia Ltda.;"20.364.496/0001-90";"000000"
consulta particular;;"001234"
CONSULTADOBEM;"";"000000"
Consultar Card;"00000";"000000"
CONSULTORIO ODONTOLOGICO REBUCCI LTDA; 02869706000110 ;"405434"
CONTROL;"";"000000"
Control Med Assessoria Médica Ocupacional LTDA;"01.122.117/0001-00";"000000"
CONV MED SA?DE LTDA. ;?01538951000181 ;"403784"
CONV MED SAÚDE LTDA.;"01538951000181 ";"403784"
Conv. Dr. Martinez;;"999999"
CONV?NIO SEMPRE VIDA ;?81564346000114 ;"392391"
CONV?NIO SEMPRE VIDA;á81564346000114 ;"392391"
convenio;;"999999"
Convênio Bradesco;"0";"0"
Convênio Cassi-VIDA CARDIO;"14.461.544/0001-6";"346659"
Convênio CB Sáude;"11.334.600/0001-20";"41.867"
CONVENIO CONDESUS;"0000000000000";"123456"
CONVENIO CONDESUS;"000000000000000000";"123456"
Convênio Cortesia;"0";"0"
Convenio Emanuelle ;"000000000000000000";"000000"
Convenio GEAP- Vida Cardio;"14.461.544/0001-65";"323080"
CONVÊNIO HOSP;"111111111111111111";"111111"
Convênio Janaína;"";-
Convênio Jeová ;"";-
CONVÊNIO SEMPRE VIDA;"81564346000114 ";"392391"
Convenio Tacio;"";"123456"
CONVENIO TEM;"";"000000"
Convênio Teste;"11.268.504/0001-03";"111111"
Convênio Teste Saab;"111111111111111111";"111111"
Convênios - Desconto em Folha_prever;"111111111111111111";"000001"
Convênios Funcionários ;"";"000000"
CONVENIUM CARD;;"1"
CONVERSSAR;;"000000"
COODMED;"01.918.950/0001-62";"000000"
COODONTO;"02933200000122 ";"362735"
COODONTO; 03453692000111 ;"409901"
COOPANEST;;"000000"
COOPANEST ;"05.777.777/0001-13";"000000"
COOPAVEL;"76.098.219/0001-37";"000000"
COOPE; 02172912000176 ;"415162"
Cooper Card - Colabore;;"000000"
Cooper Card - Colabore;"000000000000000000";"000000"
COOPER SAUDE;;"999999"
COOPERATIVA AGROINDUSTRIAL ALEGRETE LTDA.;"89231708000167 ";"355135"
COOPERATIVA DE TRABALHO MEDICO REG.PLAN.SERRANO;"85246916000189 ";"318213"
COOPERATIVA MEDICA; 63202063000140;"347230"
COOPERATIVA MEDICA; 69289171000189;"320510"
COOPERATIVA MEDICA - FERRAZ E NEGRIS REZENDE; 69289171000189;"320510"
COOPERATIVA ODONTOL?GICA VALE DO CA? LTDA. DENTSUL ;?01041724000146 ;"353477"
COOPERATIVA ODONTOLÓGICA VALE DO CAÍ LTDA. DENTSUL;"01041724000146 ";"353477"
COOPERCISO;"19052653000142 ";"353892"
COOPERDONTO;"02725037000102 ";"359459"
COOPERMECA;"45098787000104 ";"336432"
COOPERODONTO SA?DE ;?02161703000127 ;"405914"
COOPERODONTO SAÚDE; 02161703000127 ;"405914"
COOPERSA?DE ;?00196013000188 ;"326046"
COOPERSAÚDE; 00196013000188 ;"326046"
COOPERSINOS LTDA;"72350382000194 ";"404241"
COOPESAÚDE;;"999999"
coopesaúde - NÃO ATENDEMOS;;"999999"
Cooplife;;"000002"
COOPODONTO - ES; 02897177000168 ;"406341"
Coopservs;"";N/A
COOPTASIM (ES);"02146566000151 ";"310581"
COOPUS; 03129280000120;"407879"
COOPUS; 03221038000182 ;"406783"
COOPUS - Clínica Bio Imune;"96350194000124 ";"419168"
COOPUS - COOPERATIVA DE USU?RIOS DO SISTEMA DE SA?DE DE CAMP ;?96350194000124 ;"384356"
COOPUSA?DE ;?03268622000193 ;"406805"
COOPUSAÚDE;"03268622000193 ";"406805"
COP;"01070065000176 ";"408379"
COPACOL;"76.093.731/0001-90";"000000"
COPAMEDH - ASSIST?NCIA M?DICA HOSPITALAR ;?41175001000154 ;"415731"
COPAMEDH - ASSISTÊNCIA MÉDICA HOSPITALAR;"41175001000154 ";"415731"
COPASA;;"15"
COPASA ;?17281106000103 ;"328561"
COPASA ; 17281106000103 ;"328561"
COPASA MG;"17281106000103 ";"328561"
COPASS;"";"111111"
COPASS;"";"416568"
COPASS ; 8202035000115;"416568"
COPASS;"111111111111111111";"416568"
COPASS SAÚDE;"08202035000115 ";"416568"
COPE; 54722111000130 ;"304522"
COPEL;;"000002"
COPEL (FUNDAÇÃO);"75.054.940/0001-62";"355151"
COPESUL; 88948492000192 ;"332062"
COPI;"57506792000198 ";"335568"
Copol;;"000000"
CORN PRODUCTS BRASIL - INGREDIENTES IND. LTDA.; 01730520000112 ;"400971"
CORONEL DOM.SOARES;;"999999"
Corporate;"";"999994"
Corporate (Fundação Itaú);"";"853"
Corporate (Unimed);"";"546464"
CORPORATE EINSTEIN;;"999996"
Corporate(Mediservice);"";"4577"
CORREIO;;"000008"
CORREIO;;"101010"
CORREIO;;"8"
CORREIO;;"999999"
CORREIO;"34.028.316/0020-76";"035376"
CORREIOS;;"123456"
CORREIOS;;"16"
correios;"";"000000"
CORREIOS ( H.Iguatemi );;"999999"
Correios Saúde;"34028316002076";"000004"
CORTESIA;;"000001"
Cortesia;;"000006"
CORTESIA;;"000010"
CORTESIA;;"000011"
CORTESIA;;"000018"
CORTESIA;;"000101"
CORTESIA;;"000111"
cortesia;;"012345"
CORTESIA;;"10"
CORTESIA;;"125897"
CORTESIA;;"220000"
Cortesia;;"375437"
CORTESIA;;"48"
CORTESIA;;"999999"
CORTESIA;"";"000000"
Cortesia;"";"09090"
CORTESIA;-;-
Cortesia;"06.084.963/0001-05";"032555"
CORTESIA;"11.848.276/0001-40";"105593"
Cortesia Gaac;;"999999"
CORTESIA-HOSPITAL DO CORACAO (NP);;"000913"
COSAMA; 04406195000125 ;"415278"
COSIPA; 02790893000141 ;"414255"
COSIPA (VF);;"339954"
COSIPA/USIMINAS;"";"111111"
COTAR CLINICA ODONTOL?GICA S/C LTDA ;?43464288000168 ;"404225"
COTAR CLINICA ODONTOLÓGICA S/C LTDA; 43464288000168;"404225"
COTESIA;;"375437"
COTIA SAÚDE;"04496942000163 ";"414051"
COTIA SAUDE; 44896827000109 ;"304069"
CPEA;;"999999"
CPP;;"000000"
CPP;"";"000987"
CRC CONSULTORIA; 59388587000109 ;"358312"
CRE;;"999999"
CREA;"00.509.026/0007-55";"000000"
Creci;"";"000000"
CREDI SA?DE ;?02923637000185 ;"405787"
CREDI SAÚDE; 02923637000185 ;"405787"
CRISTAL PORTO;;"999999"
CRISTO REDENTOR SA?DE ;?02895467000172 ;"351148"
CRISTO REDENTOR SAÚDE; 02895467000172 ;"351148"
CRIVO;;"999999"
CRN;"72.355.894/0001-43";"000000"
CROE-CENTRO DE REABILITA?AO ORAL ESPECIALIZADO LTDA ;?19009638000111 ;"368181"
CROE-CENTRO DE REABILITAÃAO ORAL ESPECIALIZADO LTDA;á19009638000111 ;"368181"
CROE-CENTRO DE REABILITAÇAO ORAL ESPECIALIZADO LTDA;"19009638000111 ";"368181"
CrossFit Light;"000000000000000000";"000000"
CrossFit Plus;"000000000000000000";"000000"
CROWN ODONTOLOGIA DE GRUPO LTDA;"69099307000198 ";"397245"
CRUSAM;"45646726000134 ";"324698"
CRUZ AZUL;;"300401"
CRUZ AZUL DE SAO PAULO;;"375437"
Cruz Azul de São Paulo;"62.106.505/0001-92";"000000"
CRUZ AZUL SA?DE ;?03849449000117 ;"411752"
CRUZ AZUL SAÚDE;"03849449000117 ";"411752"
Cruzeiro do Sul;"";"999990"
CRUZEIRO DO SUL;"45.646.726/0001-34";"324698"
CSJ alfa 21;"04272692000188";"413275"
CSJ alfa 22;"04272692000188";"413275"
CSJ Alfa 22 Plus;;"999999"
CSJ ALFA1;;"999999"
CSJ ALFA2;;"999999"
CSJ Autorização Prévia;;"999999"
CSJ beta 21;"04272692000188";"999999"
CSJ beta 21 Plus;;"999999"
CSJ beta 22;"04272692000188";"999999"
CSJ beta 22 Plus;;"999999"
CSJ Master;"04272692000188";"999999"
CSJ Master P/ Gerentes;;"999999"
CSJ ouro;"04272692000188";"999999"
CSJ Padrão;;"999999"
CSJ Samcil/Particular;"04272692000188";"999999"
CSJ Vip;"04272692000188";"999999"
CSM;;"999999"
CSO;"00.590.705/0001-06";"000000"
CST;;"000000"
CST - CST;;"000005"
CT ASSIST?NCIA M?DICA ;?36756716000160 ;"328499"
CT ASSISTÊNCIA MÉDICA; 36756716000160 ;"328499"
CUIDAR MAIS CLINICA MEDICA S.A.;"20103704000105";"000000"
Cultural Convênios;"";"000000"
CVRD;"";"000000"
CVS Descontos;"30.226.628/0001-70";"000000"
CWB;"05.443.053/0001-09";"000000"
Cx Previdencia de Cubatão;"11111111111111";"111111"
Cx Previdencia de São Vicente;"111111111111111111";"111111"
D&F FARMA FARMETICO;;"999999"
DAIDELLEIN DO BRASIL;;"000000"
DAIMLERCHRYSLER DO BRASIL LTDA.; 59104273000129 ;"315591"
DALFERINOX;"111111111111111111";"111111"
DANA INDUSTRIAS LTDA.;"00253137000158 ";"416118"
DAY HOSPITAL;;"200000"
DAY HOSPITAL NOSSA SENHORA DO L?BANO ;?06853661000146 ;"415863"
DAY HOSPITAL NOSSA SENHORA DO LÍBANO; 06853661000146;"415863"
DAYMED SAÚDE;"06853661000146 ";"415863"
Delta Med Serviços Médicos LTDA;"10.578.903/0001-08";"000000"
DELTA ODONTOLOGIA; 02448974000168 ;"414565"
DELTA SAUDE;"00.666.836/0001-20";"000000"
DELTA SAÚDE;"01.467.994/0001-13";-
DELTAMED SERVIÇOS MÉDICOS LTDA;"10.578.903/0001-08";"000000"
DEMAIS ADMINISTRADORA DE BENEFÍCIOS LTDA.;"13951333000148 ";"418307"
DENT PLAN PLANOS ODONTOLOGICOS; 03724287000190 ;"412775"
DENT PREV ASSIST?NCIA ODONTOLOGICA ;?02909359000101 ;"408654"
DENT PREV ASSISTÊNCIA ODONTOLOGICA; 02909359000101 ;"408654"
DENT PREV ASSISTENCIA ODONTOLÓGICA LTDA;"02909359000101 ";"416487"
DENT STAR; 02953293000157 ;"400351"
DENT SYSTEM;"00644977000141 ";"402095"
DENT-CLIN; 02540823000135 ;"408972"
DENT-MED CL?NICA ODONTOL?GICA LTDA ;?02824223000107 ;"409383"
DENT-MED CLÍNICA ODONTOLÓGICA LTDA; 02824223000107 ;"409383"
DENTAL; 03119213000125;"406406"
DENTAL; 53689154000107 ;"308129"
DENTAL A; 68357755000181;"413879"
DENTAL CARD;"96490933000183 ";"416134"
DENTAL CARE; 02037921000154 ;"333581"
DENTAL CENTER LTDA;"35436658000125 ";"339458"
DENTAL CENTER SERVI?OS ODONTOL?GICOS S/C LTDA ;?51261014000108 ;"301591"
DENTAL CENTER SERVIÇOS ODONTOLÓGICOS S/C LTDA;"51261014000108 ";"301591"
DENTAL CLASS; 03884776000100 ;"412279"
DENTAL CLEAN; 02471608000120 ;"404233"
DENTAL FÁCIL;"04027727000113 ";"412627"
DENTAL GOLD;"01402285000150 ";"300730"
DENTAL LIFE;"28124782000190 ";"351113"
DENTAL LIFE; 02739999000110 ;"411311"
DENTAL LIFE - ODONTOLOGIA DE GRUPO LTDA.; 05930682000155;"415090"
DENTAL MASTER;"04212174000179 ";"413747"
DENTAL MED; 03594031000106 ;"410713"
DENTAL MED CENTER;"04067810000116 ";"413941"
DENTAL NORTE;"10722466000154 ";"417181"
DENTAL PLAN; 02115380000135;"402893"
DENTAL PLAN - PLANO DE ASSIST?NCIA ODONTOL?GICA LTDA. ME ;?03554195000100 ;"415804"
DENTAL PLAN - PLANO DE ASSISTÊNCIA ODONTOLÓGICA LTDA. ME; 03554195000100;"415804"
DENTAL PLANET;"02114321000142 ";"370339"
DENTAL PLUS CONV?NIO ODONTOL?GICO ;?00571628000147 ;"314366"
DENTAL PLUS CONVÊNIO ODONTOLÓGICO;"00571628000147 ";"314366"
DENTAL PRACTICE; 07664305000147 ;"415855"
DENTAL PREV; 01640567000195 ;"408832"
DENTAL SEGUROS; 41457235000194 ;"334766"
DENTAL SEGUROS LTDA;"69422772000118 ";"347272"
DENTAL SHARING; 71727101000107 ;"303721"
DENTAL SHARING ASSIST?NCIA ODONTOL?GICA ;?00395487000159 ;"403598"
DENTAL SHARING ASSISTÊNCIA ODONTOLÓGICA; 00395487000159 ;"403598"
DENTAL SHOPPING PLANOS ODONTOLÓGICOS;"07757307000180 ";"416649"
DENTAL SYSTEM CARD; 01378040000134 ;"405663"
DENTAL VIP;"07873459000149 ";"416835"
DENTAL WHITE CENTRAL DE CONV. ODONTOLOGICOS E PREVENCAO ; 04129183000109 ;"412716"
DENTAL WHITE CENTRAL DE CONVEIOS ODONTOLOGICOS E PREVENCAO L ;?04129183000109 ;"412716"
DENTAL WHITE CENTRAL DE CONVEIOS ODONTOLOGICOS E PREVENCAO L ; 04129183000109 ;"412716"
DENTALCARE; 03065037000196 ;"408590"
DENTALCORP ASSIST?NCIA ODONTOL?GICA INTERNACIONAL ;?03579553000139 ;"411159"
DENTALCORP ASSIST?NCIA ODONTOL?GICA LTDA ;?60268505000163 ;"392634"
DENTALCORP ASSISTÊNCIA ODONTOLÓGICA INTERNACIONAL; 03579553000139 ;"411159"
DENTALCORP ASSISTÊNCIA ODONTOLÓGICA LTDA; 60268505000163 ;"392634"
DENTALMASTER;"01364933000120 ";"401463"
DENTALMASTER DO BRASIL; 03419291000145 ;"408727"
DENTALPAR;"02156150000114 ";"322890"
DENTALPLAN;"70067137000149 ";"321991"
DENTALPLAN; 05616674000139 ;"414867"
DENTALPLAN VALE DO SÃO FRANCISCO;"05616674000139 ";"416908"
DENTALPREV;"01060301000173 ";"327867"
DENTALPREV;"04998140000151 ";"415383"
DENTALSHOW ASSIST?NCIA ODONTOL?GICA ;?01821083000142 ;"361038"
DENTALSHOW ASSISTÊNCIA ODONTOLÓGICA;"01821083000142 ";"361038"
DENTALSUL SERVI?OS E CONVENIOS ;?03422547000173 ;"409294"
DENTALSUL SERVIÃOS E CONVENIOS;á03422547000173 ;"409294"
DENTALSUL SERVIÇOS E CONVENIOS; 03422547000173 ;"409294"
DENTALVIDA;"02746799000195 ";"412163"
DENTAPLAN; 35493659000101 ;"409103"
DENTE CROSS LTDA.;"02191761000101 ";"415146"
DENTECLIN; 01740990000167 ;"409774"
DENTEMED LTDA; 00959225000170 ;"405515"
DENTEPLAN; 04132036000180 ;"412961"
DENTICAL; 02297641000185 ;"415928"
DENTIS - ODONTOLOGIA ESPECIALIZADA; 07441687000140 ;"415618"
DENTIS SANUS;"04911101000175 ";"414662"
DENTISTA;;"000000"
DENTPLANOS; 01809139000143 ;"407496"
DENTPREV ASSIST?NCIA ODONTOLOGICA LTDA ;?03324123000176 ;"410527"
DENTPREV ASSISTËNCIA ODONTOLOGICA LTDA; 03324123000176 ;"410527"
DENTS?O ;?02475621000157 ;"323870"
DENTS?O;á02475621000157 ;"323870"
DENTSÃO;"02475621000157 ";"323870"
DENTSY ODONTOLOGIA;"03113408000168 ";"414425"
DESBAN;"19969500000164 ";"357669"
Desconhecido;;"000000"
DESCONTO;;"000003"
DESCONTO;;"3"
DESCONTO;"";"000000"
DESCONTO DR, ROBERT;;"000102"
DESCONTO DR. ROBERT;"957.760.446-34";"000102"
Desconto em Folha - Particular;;"000001"
Desconto em Folha - Particular;"111111111111111111";"000001"
DESENBAHIA;"15163587000127 ";"402052"
DI THIENE SAUDE; 03716162000119 ;"411230"
DISBEL;"";"000011"
DISMED; 00464676000136 ;"357201"
DIVICOM ADMINISTRADORA DE BENEFÍCIOS LTDA;"04617017000143 ";"415286"
DIVICOM ADMINISTRADORA DE PLANOS DE SA?DE LTDA. ;?04617017000143 ;"415286"
DIVICOM ADMINISTRADORA DE PLANOS DE SAÚDE LTDA.; 04617017000143;"415286"
DIX;;"999999"
DIX;"";"326305"
Dix;"";"555555"
DIX - AMICO;"51.722.957/0080-86";"306622"
DIX AMICO;;"43"
Dix Dermatologista;"51.722.957/0080-86";"306622"
DIX HEALTH;"51.722.957/0080-86";"306622"
DIX Plena;;"999999"
DIX SAÚDE;;"323541"
DIX/AMIL/INTERMEDIARIO;;"306622"
DIX/DSPVIPIND/HEALTH/DIX/RB/HEALTH P/G/P;"51722957000182";"306622"
DIXAMICO ; 51722957000182 ;"306622"
DIXAMICO SAUDE; 01734531000170 ;"362921"
DOCCTOR MED CASCAVEL;"31.260.803/0001-77";-
Docctormed;"000000000000000000";"000000"
DOCTOR CLIN ;"13.812.911/0001-65";"349682"
DOCTOR CLIN PLANOS DE SA?DE ;?01387625000110 ;"349682"
Doctor Clin Saúde Integrada;"01.387.625/0001-10";"349682"
Doctor Prime;"";"999999"
Doctor Prime;"000000000000000000";"000000"
Doctor Prime;"11.230.490/0001-39";-
Domiciliar;"111111111111111111";"000000"
DONA SA?DE. ;?30505523000150 ;"365645"
DONA SAÚDE.;"30505523000150 ";"365645"
DONA ZELIA;;"001500"
DOURAMED - SEGURO SA?DE ;?15480130000146 ;"319368"
DOURAMED - SEGURO SAÚDE;"15480130000146 ";"319368"
Doutor Já;"000000000000000000";"000000"
Doutor Já;"19.068.792/0001-64";"000000"
Doutor Já;"19068792000164";"000001"
DOUTOR JÁ - DOAÇÃO - CONSULTA;"111111111111111111";"111111"
DOUTOR JÁ - PARTICULAR;"111111111111111111";"111111"
Doutor123 ;"67187070000171 ";"671870"
DPN RUN;"22.706.577/0001-56";"22706"
DPVAT;;"111111"
DPVAT;;"77"
DPVAT;"1111111111111";"123456"
DR de Todos;"26786543000170";"000000"
DR EXAME - JD ANGELA / SÃO BENTO;"28.526.839/0001-87";"000000"
DR EXAME - PRAÇA DA ARVORE;"31437335/0001-03";"000000"
DR EXAME TATUAPÉ;"31781316/0001-91";"000000"
Dr Gabbai;;"012345"
Dr. Atende;"0000";"0000"
Dr. Atende;"0000";"000000"
DR. BENEFÍCIO;"22.581.073/0001-57";"00000"
DR. CLAUDIO CUNHA- MEDICINA DO TRABALHO;"";"123456"
Dr. de Todos; 26786543000170;"000000"
DR. DE TODOS;"26786543/0001-70";-
DR. EXAME;"30,293,371/0001-70";xxxxxx
DR. RUY CAL;;"999999"
DR. SORRISO;"04160395000140 ";"416746"
DR.ANGELO  VASCO - MEDICINA DO TRABALHO;;"123456"
DRAGABRAS SERVIÇO DE DRAGAGEM;"08.202.938/0001-04";"505149"
DREI; 01750241000110 ;"337706"
